id,"replace(replace(replace(campaign.name, char(10), ''), char(13), ''), ',', '')",does the link work,gallery,has a video,does the video work (1/0),direct link,youtube/other (1/0),link,finance,etat,ville,raised_amount,goal_amount,percent,time_left_qty,end_year
84319,Help FEE LION in the making of NEEDS!,1,NULL,1,1,https://youtu.be/R6GqTketyyc,1,https://www.indiegogo.com/projects/help-fee-lion-in-the-making-of-needs,Flexible Funding, Illinois,Chicago,1760,3000,59,0,2014
191278,Hip Hop Renaissance movement!,1,4,1,0,NA,NA,https://www.indiegogo.com/projects/hip-hop-renaissance-movement,Flexible Funding, New York,New York,299,7000,4,0,2013
299905,Cameron Washington Album Campaign,1,2,1,1,https://youtu.be/BDKUyh_WRoc,1,https://www.indiegogo.com/projects/cameron-washington-album-campaign--2,Flexible Funding, Pennsylvania,Philadelphia,500,1000,50,0,2012
29054,Someone Still Loves You Boris Yeltsin -Music Video,1,NULL,1,1,http://vimeo.com/104052487,0,https://www.indiegogo.com/projects/someone-still-loves-you-boris-yeltsin-music-video,Flexible Funding, New York,New York,880,3000,29,0,2014
261176,Victoria Celine Tate - New Album,1,3,1,0,NA,NA,https://www.indiegogo.com/projects/victoria-celine-tate-new-album,Flexible Funding, Alabama,Huntsville,0,3300,0,0,2012
190615,Glastonbury Festival,1,1,1,1,https://youtu.be/OP3mlaD_TqI,1,https://www.indiegogo.com/projects/glastonbury-festival,Flexible Funding, California,Sebastopol,754,3000,25,0,2013
130130,Hopeful Loring 'Full Length',1,2,1,1,https://youtu.be/YBum1mtMhm4,1,https://www.indiegogo.com/projects/hopeful-loring-full-length,Flexible Funding, Colorado,Colorado Springs,155,3000,5,0,2014
145604,Send Geneseo to the GRAMMY's,1,1,1,1,https://youtu.be/WMrNWR4z8Dk,1,https://www.indiegogo.com/projects/send-geneseo-to-the-grammy-s,Flexible Funding, New York,Geneseo,4695,3000,157,0,2014
91983,Event Roadie in need of new moped to work,1,11,1,0,NA,NA,https://www.indiegogo.com/projects/event-roadie-in-need-of-new-moped-to-work,Flexible Funding, California,Los Angeles,0,1500,0,0,2015
12014,Nightosaur - Set Fire To The Mountain vinyl preorder,1,NULL,1,1,https://youtu.be/x4IEIsVE6uo,1,https://www.indiegogo.com/projects/nightosaur-set-fire-to-the-mountain-vinyl-preorder,Flexible Funding, Minnesota,Minneapolis,1465,2000,73,0,2014
117307,Creative Music Studio Archive Restoration Project,1,4,1,1,http://vimeo.com/74259056,0,https://www.indiegogo.com/projects/creative-music-studio-archive-restoration-project,Flexible Funding, New York,Woodstock,150,4000,4,0,2013
136595,Revolution 2014,1,NULL,1,1,https://youtu.be/SXvfVQxDg7g,1,https://www.indiegogo.com/projects/revolution-2014,Flexible Funding, Kentucky,Louisville,130,5000,3,0,2014
74301,New Album by 'basic',1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/new-album-by-basic,Fixed Funding, New York,Rochester,2690,6000,45,0,2014
322386,Ellis Clark's Upcoming Album Campaign,1,1,1,1,https://youtu.be/G3rPgzPd6zc,1,https://www.indiegogo.com/projects/ellis-clark-s-upcoming-album-campaign,Flexible Funding, Illinois,Chicago,1859,2500,74,0,2013
257178,Ben Bedford's New Album - 2012,1,1,1,1,http://vimeo.com/38343960,0,https://www.indiegogo.com/projects/ben-bedford-s-new-album-2012,Flexible Funding, Illinois,Springfield,11446,16500,69,0,2012
183219,Island Bay Day,1,9,1,1,https://youtu.be/-rBIakSO0SY,1,https://www.indiegogo.com/projects/island-bay-day,Flexible Funding, Maryland,Centreville,0,10000,0,0,2013
161342,Music for the people by the people,1,3,1,1,https://youtu.be/KZ428DmxLe0,1,https://www.indiegogo.com/projects/music-for-the-people-by-the-people,Flexible Funding, Florida,Pembroke Pines,1715,5000,34,0,2014
173365,Duilliath's Golden Horizons DEBUT EP,1,4,1,1,https://youtu.be/RgB7bfAM--o,1,https://www.indiegogo.com/projects/duilliath-s-golden-horizons-debut-ep,Flexible Funding, Indiana,Lafayette,445,1300,34,0,2013
273637,TRINA'S WORLD,1,3,1,1,https://youtu.be/-2n2OvkBWFM,1,https://www.indiegogo.com/projects/trina-s-world,Flexible Funding, Minnesota,MPLS,0,10000,0,0,2012
138792,Ekah Kim's New Album Fundraising!,1,NULL,1,1,https://youtu.be/TyULLg6Vins,1,https://www.indiegogo.com/projects/ekah-kim-s-new-album-fundraising,Flexible Funding, New York,New York,1325,1200,110,0,2014
232772,Feelin Randy,1,NULL,1,1,https://youtu.be/vuxte0uniAw,1,https://www.indiegogo.com/projects/feelin-randy,Flexible Funding,NULL,New Jersey,0,7500,0,0,2011
201947,Honey & Blue are making an album!!!!,1,1,1,1,https://youtu.be/JaF6G0fawq0,1,https://www.indiegogo.com/projects/honey-blue-are-making-an-album,Flexible Funding, California,Los Angeles,4165,10000,42,0,2013
115760,Platanos & Collardgreens!,1,NULL,1,1,https://youtu.be/WkNq2lofJ-U,1,https://www.indiegogo.com/projects/platanos-collardgreens,Flexible Funding, New York,Harlem,570,6000,10,0,2014
197331,Mighty Mountain DEBUT ALBUM,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/mighty-mountain-debut-album,Flexible Funding, Texas,Austin,6381,6000,106,0,2013
212251,Mark Arroyo Trio CD Recording,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/mark-arroyo-trio-cd-recording,Flexible Funding, California,San Jose,1210,500,242,0,2013
152859,Becoming an Electronic Music Producer,1,2,1,0,NA,NA,https://www.indiegogo.com/projects/becoming-an-electronic-music-producer,Flexible Funding, South Carolina,Campobello,0,10000,0,0,2014
121795,Rory Partin's New CD,1,6,1,0,NA,NA,https://www.indiegogo.com/projects/rory-partin-s-new-cd,Flexible Funding,NULL,Los Angeles,3401,20000,17,0,2013
221064,Erotication Nation,1,4,1,1,https://youtu.be/1RyvYSV41t8,1,https://www.indiegogo.com/projects/erotication-nation,Flexible Funding, New York,NYC,80,50000,0,0,2013
129120,Nick Menn - Goon Road: Hill 1,1,NULL,1,1,https://youtu.be/mm9mp-hGMjY,1,https://www.indiegogo.com/projects/nick-menn-goon-road-hill-1,Flexible Funding, Illinois,Fairview Heights,1396,5600,25,0,2013
26436,Conspiracy of Venus records their first album: Muse Ecology,1,22,1,1,https://youtu.be/cugIhdHygGQ,1,https://www.indiegogo.com/projects/conspiracy-of-venus-records-their-first-album-muse-ecology,Flexible Funding, California,San Francisco,26664,20000,133,0,2014
282639,New June Embers EP!,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/new-june-embers-ep,Fixed Funding, South Dakota,Sioux Falls,600,500,120,0,2012
264188,Jeremy Ferrick's Album,1,2,1,1,https://youtu.be/_4VgKUryMsg,1,https://www.indiegogo.com/projects/jeremy-ferrick-s-album--3,Flexible Funding, California,los angeles,25,2500,1,0,2012
153020,Time for a New RedSkunk Album!,1,NULL,1,1,https://youtu.be/UK6BO91XeCM,1,https://www.indiegogo.com/projects/time-for-a-new-redskunk-album,Flexible Funding, Louisiana,New Orleans,1485,2000,74,0,2014
140299,Help finish Africambio!,1,NULL,1,1,https://youtu.be/kDCvat8ktNo,1,https://www.indiegogo.com/projects/help-finish-africambio,Flexible Funding, California,San Francisco,1080,5000,22,0,2014
267385,From heartbreak to healing my powerful & inspiring CD 'Hey Tide' needs support!,1,11,1,1,https://youtu.be/iKyZ4xk5Eck,1,https://www.indiegogo.com/projects/from-heartbreak-to-healing-my-powerful-inspiring-cd-hey-tide-needs-support,Flexible Funding, Massachusetts,Boston,1270,2000,64,0,2012
8026,Pulse Distro & Merch,1,3,1,1,https://youtu.be/d3IewpMFbXU,1,https://www.indiegogo.com/projects/pulse-distro-merch,Flexible Funding, North Carolina,Wilmington,66,2200,3,0,2014
146777,Help Seminole High Indoor Percussion Reach its Season Goals!,1,NULL,1,1,https://youtu.be/nLhAZSUQDjI,1,https://www.indiegogo.com/projects/help-seminole-high-indoor-percussion-reach-its-season-goals,Flexible Funding, Florida,Seminole,300,2000,15,0,2014
149823,Broad Street Elite,1,NULL,1,1,https://youtu.be/blUk5lJwfFI,1,https://www.indiegogo.com/projects/broad-street-elite,Flexible Funding, Virginia,Richmond,120,10000,1,0,2014
221402,Aubrey Erin First EP - 48 Hours,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/aubrey-erin-first-ep-48-hours,Flexible Funding, Texas,Austin,390,7000,6,0,2013
185033,Help Gavin Make A New Music Video!,1,2,1,0,NA,NA,https://www.indiegogo.com/projects/help-gavin-make-a-new-music-video,Flexible Funding, California,Los Angeles,795,3000,27,0,2013
245183,If Music be the food of Love...,1,22,1,1,http://vimeo.com/28998647,0,https://www.indiegogo.com/projects/if-music-be-the-food-of-love,Flexible Funding, California,San Francisco,2680,4500,60,0,2011
326312,The Journey to Releasing my EP,1,10,1,0,NA,NA,https://www.indiegogo.com/projects/the-journey-to-releasing-my-ep,Flexible Funding, Texas,Houston,2611,2500,104,0,2013
53182,Pretty Barn happy songs for children of all ages,1,21,1,1,https://youtu.be/VGvqWLXoiWk,1,https://www.indiegogo.com/projects/pretty-barn-happy-songs-for-children-of-all-ages,Flexible Funding, Indiana,Madison,350,1575,22,0,2014
309337,Orchestra NEXT,1,NULL,1,1,http://vimeo.com/51009776,0,https://www.indiegogo.com/projects/orchestra-next,Flexible Funding, Oregon,Eugene,3850,20000,19,0,2012
173795,Send Extreme Measures to St. Louis for ICCA Semifinals!,1,1,1,1,https://youtu.be/T64U03x2pFE,1,https://www.indiegogo.com/projects/send-extreme-measures-to-st-louis-for-icca-semifinals,Flexible Funding, Illinois,Evanston,550,500,110,0,2013
321467,ARTime,1,NULL,1,1,https://youtu.be/dSg2u4RJMXo,1,https://www.indiegogo.com/projects/artime,Flexible Funding, Nebraska,Omaha,0,2000,0,0,2013
314369,BFV 2013 Tour Campaign,1,1,1,1,https://youtu.be/bblDsCXhf6k,1,https://www.indiegogo.com/projects/bfv-2013-tour-campaign,Flexible Funding, Florida,Tampa,0,2000,0,0,2012
282674,HELP GET ME TO MY AUDITION FOR NBC'S THE VOICE,1,2,1,1,https://youtu.be/aVMNzHqNq7M,1,https://www.indiegogo.com/projects/help-get-me-to-my-audition-for-nbc-s-the-voice,Flexible Funding, New York,Cheektowaga,0,1000,0,0,2012
121178,Miss Conceptualizing Campaign,1,2,1,1,https://youtu.be/m9RGnLLzyn0,1,https://www.indiegogo.com/projects/miss-conceptualizing-campaign,Flexible Funding, Missouri,Kansas City,900,3000,30,0,2013
92187,The Passion Tour,1,5,1,1,https://youtu.be/O_GFSTv0oBI,1,https://www.indiegogo.com/projects/the-passion-tour,Flexible Funding, California,Pomona,1771,3500,51,0,2014
213225,'Mystic Places' by Phoenix Rising,1,1,1,1,https://youtu.be/vu6fYYYKM88,1,https://www.indiegogo.com/projects/mystic-places-by-phoenix-rising,Flexible Funding, California,San Francisco,6000,6000,100,0,2013
209068,The Sound Of Ugly - Debut Album,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/the-sound-of-ugly-debut-album,Flexible Funding, California,Los Angeles,1550,9500,16,0,2013
145358,Bruckner's Third Symphony-the Unknown Version,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/bruckner-s-third-symphony-the-unknown-version,Flexible Funding, Arizona,Phoenix,3220,5000,64,0,2014
279459,National Guitar Workshop Online,1,NULL,1,1,https://youtu.be/rM06xmwosxk,1,https://www.indiegogo.com/projects/national-guitar-workshop-online,Flexible Funding,NULL,Litchfield,5,25000,0,0,2012
210167,The K.D.W. Experience,1,1,1,1,https://youtu.be/ZAwJ1yIp28I,1,https://www.indiegogo.com/projects/the-k-d-w-experience,Flexible Funding, New York,Brooklyn,1,20000,0,0,2013
184152,Tony joins the NSAI,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/tony-joins-the-nsai--2,Flexible Funding, California,Los Angeles,15,500,3,0,2013
239008,WAKING LIGHTS,1,12,1,1,http://vimeo.com/25701185,0,https://www.indiegogo.com/projects/waking-lights,Flexible Funding, New Jersey,Wayne,2860,10000,29,0,2011
45309,Black & Broke is Broke.,1,NULL,1,1,https://youtu.be/I8FsNTGC7HM,1,https://www.indiegogo.com/projects/black-broke-is-broke,Flexible Funding, Ohio,Cleveland,390,6500,6,0,2014
143830,IMAJ: Keep The Dream Alive,1,21,1,0,NA,NA,https://www.indiegogo.com/projects/imaj-keep-the-dream-alive,Flexible Funding, Texas,Dallas,6595,75000,9,0,2014
32704,Murphy vinyl release,1,4,1,1,https://youtu.be/xoDrPtt4_TQ,1,https://www.indiegogo.com/projects/murphy-vinyl-release,Flexible Funding, Nebraska,Omaha,5575,5000,112,0,2014
60883,Leanne Weiss' Next Country Album,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/leanne-weiss-next-country-album,Flexible Funding, New Jersey,Riverdale,1525,15000,10,0,2014
330480,Pell - The Wild Music Video,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/pell-the-wild-music-video,Flexible Funding, Mississippi,Starkville,20,3200,1,0,2013
258648,Andy Needham Band Debut Full Album,1,NULL,1,1,https://youtu.be/PrkIPA_EHws,1,https://www.indiegogo.com/projects/andy-needham-band-debut-full-album,Flexible Funding, Massachusetts,Northborough,4869,10000,49,0,2012
